Datum,Aantal klikken,Vertoningen,CTR,Positie
2026-07-05,0,0,,
2026-07-06,0,0,,
2026-07-07,0,6,0%,64.5
2026-07-08,0,5,0%,71
2026-07-09,1,8,12.5%,36
2026-07-10,0,6,0%,75
2026-07-11,0,27,0%,61.3
2026-07-12,2,50,4%,23
2026-07-13,4,107,3.74%,9.5
2026-07-14,3,114,2.63%,9.5
2026-07-15,4,179,2.23%,9.9
2026-07-16,2,225,0.89%,10.5
2026-07-17,9,221,4.07%,10.8
2026-07-18,1,21,4.76%,26.2
2026-07-19,0,14,0%,54.9
2026-07-20,0,15,0%,70.7
2026-07-21,0,26,0%,63.5
2026-07-22,0,27,0%,56.6
2026-07-23,0,17,0%,44.9
2026-07-24,0,19,0%,61.8
2026-07-25,0,3,0%,50.7
2026-07-26,0,14,0%,65
2026-07-27,0,11,0%,69.5
2026-07-28,0,23,0%,71.3
2026-07-29,0,15,0%,86.7
2026-07-30,0,13,0%,70.5
2026-07-31,0,22,0%,69.3
2026-08-01,0,9,0%,69
2026-08-02,0,10,0%,69.8
2026-08-03,0,14,0%,86.1
2026-08-04,0,21,0%,76.1
2026-08-05,0,17,0%,73.4
2026-08-06,0,12,0%,78.7
2026-08-07,1,19,5.26%,69.8
2026-08-08,0,21,0%,79.1
2026-08-09,0,41,0%,73.3
2026-08-10,0,20,0%,80
2026-08-11,0,34,0%,80.8
2026-08-12,0,26,0%,79.2
2026-08-13,0,39,0%,78.8
2026-08-14,0,28,0%,83
2026-08-15,0,22,0%,77.7
2026-08-16,0,20,0%,75.5
2026-08-17,0,24,0%,84.8
2026-08-18,1,20,5%,85.2
2026-08-19,0,21,0%,80.1
2026-08-20,0,21,0%,82.6
2026-08-21,0,22,0%,76.7
2026-08-22,0,17,0%,84.4
2026-08-23,0,14,0%,87.6
2026-08-24,0,8,0%,88
2026-08-25,0,21,0%,83
2026-08-26,0,31,0%,84.4
2026-08-27,0,24,0%,74.8
2026-08-28,0,36,0%,77.3
2026-08-29,0,35,0%,68.9
2026-08-30,0,37,0%,62.8
2026-08-31,0,18,0%,68.7
2026-09-01,0,37,0%,70
2026-09-02,0,37,0%,69.6
2026-09-03,0,36,0%,65.2
2026-09-04,0,33,0%,70.2
2026-09-05,0,97,0%,52.7
2026-09-06,1,25,4%,50.7
2026-09-07,0,30,0%,52.9
2026-09-08,0,25,0%,53.5
2026-09-09,0,25,0%,72
2026-09-10,0,12,0%,63.2
2026-09-11,0,24,0%,54.9
2026-09-12,0,41,0%,64.7
2026-09-13,0,18,0%,66.6
2026-09-14,0,18,0%,54.9
2026-09-15,0,28,0%,57.7
