Land,Aantal klikken,Vertoningen,CTR,Positie
Nederland,29,2088,1.39%,44.92
India,0,41,0%,77.88
Filipijnen,0,36,0%,72.53
Indonesië,0,32,0%,68.62
Duitsland,0,20,0%,47.4
Verenigde Staten,0,19,0%,24.68
België,0,9,0%,21.33
Bangladesh,0,9,0%,66.67
Colombia,0,9,0%,69.78
Vietnam,0,9,0%,75.44
Zuid-Korea,0,6,0%,67.67
Brazilië,0,6,0%,70.83
Verenigd Koninkrijk,0,5,0%,25.4
Griekenland,0,4,0%,56.5
Egypte,0,4,0%,59
Argentinië,0,4,0%,69.5
Turkije,0,3,0%,7.33
Pakistan,0,3,0%,60
Polen,0,3,0%,63.33
Maleisië,0,3,0%,64
Rusland,0,3,0%,68
Dominicaanse Republiek,0,3,0%,88.67
Bulgarije,0,2,0%,9
Marokko,0,2,0%,9
Zwitserland,0,2,0%,15.5
Hongarije,0,2,0%,58.5
Algerije,0,2,0%,64
Bhutan,0,2,0%,64.5
Cambodja,0,2,0%,68
Kenia,0,2,0%,81
Spanje,0,2,0%,82
Costa Rica,0,2,0%,92.5
Zuid-Afrika,0,2,0%,94
Guatemala,0,2,0%,94.5
Irak,0,2,0%,99
Syrië,0,1,0%,1
Taiwan,0,1,0%,1
Curaçao (Nederlandse Antillen),0,1,0%,7
Albanië,0,1,0%,10
Verenigde Arabische Emiraten,0,1,0%,11
Luxemburg,0,1,0%,22
Thailand,0,1,0%,38
Oezbekistan,0,1,0%,39
Sri Lanka,0,1,0%,48
Frankrijk,0,1,0%,50
Italië,0,1,0%,51
Peru,0,1,0%,51
Congo-Kinshasa,0,1,0%,56
Georgië,0,1,0%,56
Venezuela,0,1,0%,57
Chili,0,1,0%,58
Honduras,0,1,0%,58
Jordanië,0,1,0%,72
Ghana,0,1,0%,73
Namibië,0,1,0%,73
Barbados,0,1,0%,76
Koeweit,0,1,0%,78
Ierland,0,1,0%,80
Gambia,0,1,0%,84
Canada,0,1,0%,87
Nicaragua,0,1,0%,91
Saudi-Arabië,0,1,0%,93
Ecuador,0,1,0%,94
Swaziland,0,1,0%,97
El Salvador,0,1,0%,98
Kroatië,0,1,0%,100
